student_id,interests,purpose,selected_shops,model_choice,rating,recommendations,feedback
21321231,"娱乐, 数码, 服装",吃饭,"商铺3, 商铺7, 商铺5",模型B,3,"推荐结果2, 推荐结果3, 推荐结果1",test
21321231,"娱乐, 数码, 服装",吃饭,"商铺3, 商铺7, 商铺5",模型B,3,"推荐结果2, 推荐结果3, 推荐结果1",test
1,服装,购物,"商铺2, 商铺3, 商铺4",模型A,4,"推荐结果1, 推荐结果2",1111
2,娱乐,购物,"商铺2, 商铺4, 商铺6",模型B,2,"推荐结果2, 推荐结果3, 推荐结果1",111
1,服装,购物,"商铺3, 商铺4, 商铺5",模型A,3,"推荐结果2, 推荐结果3, 推荐结果1",221
1,娱乐,休闲娱乐,"商铺4, 商铺6, 商铺7",模型A,3,"推荐结果3, 推荐结果4, 推荐结果2",2321
1221,"娱乐, 服装",购物,"商铺83, 商铺84, 商铺85",模型A,3,"推荐结果2, 推荐结果3, 推荐结果4",432
321,"娱乐, 服装",购物,"商铺3, 商铺6, 商铺7",模型A,2,"推荐结果2, 推荐结果3, 推荐结果1",543
1,"娱乐, 服装",购物,"商铺3, 商铺4, 商铺5",模型A,3,"推荐结果2, 推荐结果3, 推荐结果1",5343
111,"餐饮美食, 大型零售",购物,"GUESS, Evisu, G-STAR",模型A,2,"推荐结果2, 推荐结果3, 推荐结果4",5434512132,"生活精品, 餐饮美食",购物,"Evisu, G-STAR, Hazzys",模型A,4,"推荐结果2, 推荐结果3, 推荐结果1",wqe
213213,"餐饮美食, 大型零售",购物,"Armani Exchange, AIGLE, Hazzys",模型A,2,推荐结果2,"test
"
222,"服装服饰, 生活精品, 餐饮美食",购物,"Armani Exchange, Evisu, AIGLE",模型A,4,"推荐结果3, 推荐结果4, 推荐结果2",
1213,"生活精品, 大型零售, 儿童业态",吃饭,"Armani Exchange, Evisu, GUESS",模型A,2,"推荐结果4, 推荐结果5, 推荐结果2",
1213,"生活精品, 大型零售, 儿童业态",吃饭,"Armani Exchange, Evisu, GUESS",模型A,2,"推荐结果4, 推荐结果5, 推荐结果2",
1564564,"服装服饰, 生活精品, 餐饮美食",购物,"GUESS, Armani Exchange, Gant",模型A,1,"推荐结果2, 推荐结果3, 推荐结果1",555
21313,"餐饮美食, 大型零售, 儿童业态",吃饭,"GUESS, Armani Exchange, AIGLE",模型A,1,"推荐结果3, 推荐结果4, 推荐结果2",
21313,"餐饮美食, 大型零售, 儿童业态",吃饭,"GUESS, Armani Exchange, AIGLE",模型A,1,"推荐结果3, 推荐结果4, 推荐结果2",
